S.No,Date,(Node 01) Battery Voltage ,(Node 01) Soil EC,(Node 01) Soil Moisture ,(Node 01) Soil Temperature ,(Node 01) Solar Voltage ,(Node 02) Battery Voltage ,(Node 02) Soil EC,(Node 02) Soil Moisture ,(Node 02) Soil Temperature ,(Node 02) Solar Voltage ,(Node 03) Battery Voltage ,(Node 03) Soil EC,(Node 03) Soil Moisture ,(Node 03) Soil Temperature ,(Node 03) Solar Voltage ,(Node 04) Battery Voltage ,(Node 04) Soil EC,(Node 04) Soil Moisture ,(Node 04) Soil Temperature ,(Node 04) Solar Voltage 
2267,12/19/2022- 1:34:22 AM,4.11,133.06,22.34,22.52,0.06,,,,,,,,,,,,,,,
2268,12/19/2022- 1:45:46 AM,4.11,133.06,22.39,22.7,0.06,,,,,,,,,,,,,,,
2269,12/19/2022- 1:56:09 AM,4.11,129.39,22.34,22.7,0.06,,,,,,,,,,,,,,,
2270,12/19/2022- 2:06:47 AM,4.11,128.17,22.07,22.72,0.06,,,,,,4.11,155.03,26.39,22.34,0.05,,,,,
2271,12/19/2022- 2:18:12 AM,4.11,,22.41,,0.06,,,,,,,,,,,,,,,
2272,12/19/2022- 2:28:34 AM,4.11,131.84,,22.67,0.06,,,,,,4.11,,26.39,,0.05,,,,,
2273,12/19/2022- 2:39:14 AM,4.11,134.28,22.22,22.64,0.06,,,,,,,,,,,,,,,
2274,12/19/2022- 2:49:38 AM,4.1,129.39,22.49,22.61,0.06,,98.88,,22.72,,,,,,,,,,,
2275,12/19/2022- 3:01:03 AM,4.1,129.39,22.34,22.64,0.06,,103.76,,22.87,,,,,,,,,,,
2276,12/19/2022- 3:11:39 AM,4.1,,22.31,,0.06,,,,,,,,,,,,,,,
2277,12/19/2022- 3:23:03 AM,4.1,126.95,22.27,22.64,0.07,4.15,101.32,20.04,22.61,0.1,,,,,,,,,,
2278,12/19/2022- 3:33:39 AM,4.1,137.94,22.46,22.72,0.06,,,,,,,,,,,,,,,
2279,12/19/2022- 3:44:01 AM,4.1,128.17,22.31,22.55,0.07,,,,,,,,,,,,,,,
2280,12/19/2022- 3:55:25 AM,4.1,134.28,22.39,22.61,0.07,,,,,,,,,,,,,,,
2281,12/19/2022- 4:06:01 AM,4.1,133.06,22.36,22.64,0.06,,,,,,,,,,,,,,,
2282,12/19/2022- 4:16:25 AM,4.1,130.62,22.24,22.67,0.06,,,,,,,,,,,,,,,
2283,12/19/2022- 4:27:50 AM,4.1,126.95,22.53,22.64,0.06,,,,,,,,,,,,,,,
2284,12/19/2022- 4:38:26 AM,4.1,129.39,22.46,22.55,0.06,,,,,,,,,,,4.07,194.09,25.39,21.14,0.05
2285,12/19/2022- 4:48:48 AM,4.09,128.17,22.46,22.7,0.06,,,,,,,,,,,,,,,
2286,12/19/2022- 5:00:12 AM,4.09,133.06,22.22,22.55,0.06,,,,,,,,,,,,,,,
2287,12/19/2022- 5:10:48 AM,4.1,123.29,22.29,22.61,0.07,,,,,,,,,,,,,,,
2288,12/19/2022- 5:21:10 AM,4.09,128.17,22.34,22.4,0.06,,,,,,,,,,,,,,,
2289,12/19/2022- 5:32:35 AM,4.09,134.28,22.12,22.64,0.01,,,,,,,,,,,,,,,
2290,12/19/2022- 5:43:11 AM,4.09,129.39,22.29,22.61,0.01,,,,,,,,,,,,,,,
2291,12/19/2022- 5:53:34 AM,4.09,128.17,22.17,22.7,0.04,,,,,,,,,,,,,,,
2292,12/19/2022- 6:15:35 AM,4.09,129.39,22.39,22.67,2.12,,,,,,,,,,,,,,,
2293,12/19/2022- 6:25:57 AM,4.09,133.06,22.44,22.61,3.61,,,,,,4.09,145.26,26.39,22.43,3.93,,,,,
2294,12/19/2022- 6:36:33 AM,4.09,,22.63,,3.97,,,,,,,,,,,,,,,
2295,12/19/2022- 6:47:58 AM,4.09,125.73,22.24,22.7,4,,,,,,4.09,129.39,26.49,21.9,4.02,,,,,
2296,12/19/2022- 6:58:21 AM,4.09,131.84,22.36,22.64,4.03,,,,,,,,,,,,,,,
2297,12/19/2022- 7:09:58 AM,4.1,133.06,22.41,22.64,4.06,,,,,,,,,,,,,,,
2298,12/19/2022- 7:20:21 AM,4.13,144.04,22.34,22.67,4.24,,,,,,,,,,,,,,,
2299,12/19/2022- 7:30:44 AM,4.16,134.28,22.68,22.72,4.39,4.16,102.54,20.36,22.31,4.21,,,,,,,,,,
2300,12/19/2022- 7:42:22 AM,4.18,139.16,22.51,22.81,4.5,4.18,103.76,20.29,22.11,4.27,,,,,,,,,,
2301,12/19/2022- 7:52:45 AM,4.24,135.5,22.73,22.72,4.41,,,,,,,,,,,4.11,,24.95,,4.26
2302,12/19/2022- 8:03:07 AM,4.24,,22.68,,4.49,,,,,,,,,,,,,,,
2303,12/19/2022- 8:14:45 AM,4.23,139.16,22.71,22.7,4.29,,,,,,,,,,,,,,,
2304,12/19/2022- 8:25:07 AM,4.24,144.04,22.58,22.58,4.43,,,,,,,,,,,,,,,
2305,12/19/2022- 8:47:09 AM,4.26,152.59,22.46,22.84,4.53,,,,,,,,,,,,,,,
2306,12/19/2022- 8:57:31 AM,4.26,145.26,22.68,22.96,4.47,,,,,,,,,,,,,,,
2307,12/19/2022- 9:09:09 AM,4.26,142.82,22.58,22.84,4.42,,,,,,,,,,,,,,,
2308,12/19/2022- 9:19:32 AM,4.23,134.28,22.27,22.31,5,,,,,,,,,,,,,,,
2309,12/19/2022- 9:30:58 AM,4.22,130.62,22.44,22.23,5,,,,,,,,,,,,,,,
2310,12/19/2022- 9:41:37 AM,4.27,147.71,22.34,22.9,4.48,,,,,,,,,,,,,,,
2311,12/19/2022- 9:53:01 AM,4.28,145.26,22.58,22.9,4.6,,,,,,,,,,,,,,,
2312,12/19/2022- 10:03:23 AM,4.27,144.04,22.53,22.64,5,,,,,,,,,,,,,,,
2313,12/19/2022- 10:14:01 AM,4.27,140.38,22.58,22.46,5,,,,,,,,,,,,,,,
2314,12/19/2022- 10:25:26 AM,4.23,140.38,22.17,22.34,5,,,,,,,,,,,,,,,
2315,12/19/2022- 10:35:48 AM,4.23,130.62,22.27,22.43,5,,,,,,4.16,146.48,26.29,22.05,5,,,,,
2316,12/19/2022- 10:47:28 AM,4.23,128.17,22.44,22.23,5,,,,,,,,,,,,,,,
2317,12/19/2022- 10:57:52 AM,4.26,136.72,22.36,22.4,5,,,,,,4.16,145.26,26.17,21.76,5,4.2,191.65,24.68,20.5,5
2318,12/19/2022- 11:08:27 AM,4.24,135.5,22.22,22.14,5,,,,,,,,,,,,,,,
2319,12/19/2022- 11:19:51 AM,4.24,133.06,22.29,22.34,5,,,,,,,,,,,,,,,
2320,12/19/2022- 11:30:13 AM,4.23,,22.24,,5,,,,,,,,,,,,,,,
2321,12/19/2022- 11:41:53 AM,4.24,130.62,22.24,22.26,5,,,,,,,,,,,,,,,
2322,12/19/2022- 11:52:15 AM,4.24,134.28,21.83,22.31,5,,,,,,,,,,,,,,,
2323,12/19/2022- 12:03:40 PM,4.23,122.07,22.05,22.26,5,,,,,,,,,,,,,,,
2324,12/19/2022- 12:14:16 PM,4.23,434.57,41.11,23.13,5,4.24,96.44,19.9,21.73,5,,,,,,,,,,
2325,12/19/2022- 12:25:41 PM,4.23,462.65,41.77,23.46,5,4.24,115.97,21.41,21.76,5,,,,,,,,,,
2326,12/19/2022- 12:36:04 PM,4.23,471.19,41.36,23.87,5,,,,,,,,,,,,,,,
2327,12/19/2022- 12:47:42 PM,4.23,333.25,32.62,23.66,5,,,,,,,,,,,,,,,
2328,12/19/2022- 12:58:04 PM,4.23,321.04,31.35,23.87,5,,,,,,,,,,,,,,,
2329,12/19/2022- 1:20:07 PM,4.23,299.07,30.3,23.54,5,,,,,,,,,,,,,,,
2330,12/19/2022- 1:30:29 PM,4.27,306.4,30.57,24.16,4.48,,,,,,,,,,,,,,,
2331,12/19/2022- 1:42:08 PM,4.24,286.87,30.05,23.69,5,,,,,,,,,,,,,,,
2332,12/19/2022- 1:52:30 PM,4.23,292.97,30,23.63,5,,,,,,,,,,,,,,,
2333,12/19/2022- 2:03:55 PM,4.23,289.31,29.61,23.93,5,,,,,,,,,,,,,,,
2334,12/19/2022- 2:14:30 PM,4.23,289.31,29.2,23.69,5,,,,,,,,,,,,,,,
2335,12/19/2022- 2:25:55 PM,4.23,278.32,29.15,23.84,5,,,,,,,,,,,4.21,190.43,25.15,21.26,5
2336,12/19/2022- 2:36:17 PM,4.27,283.2,29.47,24.07,4.69,,,,,,,,,,,,,,,
2337,12/19/2022- 2:46:54 PM,4.23,,29.1,,5,,,,,,,,,,,,,,,
2338,12/19/2022- 2:58:19 PM,4.24,274.66,28.96,23.63,5,,,,,,,,,,,,,,,
2339,12/19/2022- 3:09:44 PM,4.26,285.64,29.05,23.96,4.5,,,,,,,,,,,,,,,
2340,12/19/2022- 3:19:18 PM,4.26,,28.83,,4.45,,,,,,,,,,,,,,,
2341,12/19/2022- 3:29:40 PM,4.26,268.55,28.93,23.84,4.48,,,,,,,,,,,,,,,
2342,12/19/2022- 3:42:21 PM,4.25,266.11,28.56,24.07,4.34,,,,,,,,,,,,,,,
2343,12/19/2022- 3:52:43 PM,4.25,264.89,28.49,23.84,4.27,,,,,,,,,,,,,,,
2344,12/19/2022- 4:04:08 PM,4.24,272.22,28.34,23.9,4.2,,,,,,,,,,,,,,,
2345,12/19/2022- 4:14:45 PM,4.24,260.01,28.03,23.81,4.17,,,,,,,,,,,,,,,
2346,12/19/2022- 4:25:07 PM,4.24,255.13,28.15,23.78,4.13,,,,,,,,,,,,,,,
2347,12/19/2022- 4:36:32 PM,4.23,256.35,28.12,23.9,3.91,,,,,,,,,,,,,,,
2348,12/19/2022- 4:47:07 PM,4.22,255.13,28.05,24.01,2.79,,,,,,,,,,,,,,,
2349,12/19/2022- 4:58:32 PM,4.21,260.01,27.91,23.96,0.84,,,,,,,,,,,,,,,
2350,12/19/2022- 5:08:54 PM,4.2,258.79,27.86,23.87,0.13,4.23,146.48,23.02,22.87,0.17,,,,,,,,,,
2351,12/19/2022- 5:19:30 PM,4.19,249.02,27.93,23.87,0.06,,,,,,,,,,,,,,,
2352,12/19/2022- 5:30:55 PM,4.19,249.02,27.86,23.72,0.05,,,,,,,,,,,,,,,
2353,12/19/2022- 5:41:17 PM,4.19,250.24,27.78,23.69,0.05,,,,,,,,,,,4.16,190.43,25.24,21.87,0.04
2354,12/19/2022- 5:52:57 PM,4.18,245.36,27.86,23.78,0.05,,,,,,,,,,,4.16,195.31,25.37,22.14,0.04
2355,12/19/2022- 6:03:19 PM,4.18,246.58,27.71,23.75,0.05,,,,,,,,,,,,,,,
2356,12/19/2022- 6:13:55 PM,4.17,244.14,27.69,23.87,0.05,,,,,,,,,,,,,,,
2357,12/19/2022- 6:25:19 PM,4.17,245.36,27.73,23.87,0.05,,,,,,,,,,,,,,,
2358,12/19/2022- 6:35:42 PM,4.17,239.26,27.76,23.84,0.05,,,,,,,,,,,,,,,
2359,12/19/2022- 6:46:20 PM,4.16,240.48,27.76,23.93,0.06,,,,,,,,,,,,,,,
2360,12/19/2022- 6:57:45 PM,4.16,239.26,27.37,23.81,0.05,,,,,,,,,,,,,,,
2361,12/19/2022- 7:08:08 PM,4.16,240.48,27.66,23.78,0.05,,,,,,,,,,,,,,,
2362,12/19/2022- 7:18:43 PM,4.16,245.36,27.61,23.93,0.05,,,,,,4.16,184.33,29.27,22.43,0.05,,,,,
2363,12/19/2022- 7:30:08 PM,4.15,241.7,27.39,23.69,0.06,,,,,,4.15,184.33,28.93,22.67,0.05,,,,,
2364,12/19/2022- 7:40:33 PM,4.15,244.14,27.37,23.98,0.06,,,,,,4.15,195.31,29.2,22.72,0.05,,,,,
2365,12/19/2022- 7:51:09 PM,4.15,,27.54,,0.06,,,,,,,,,,,,,,,
2366,12/19/2022- 8:02:34 PM,4.15,244.14,27.37,23.93,0.05,,,,,,,,,,,,,,,
2367,12/19/2022- 8:12:56 PM,4.14,240.48,27.42,23.84,0.06,,,,,,,,,,,,,,,
2368,12/19/2022- 8:24:35 PM,4.14,235.6,27.22,23.87,0.06,,,,,,,,,,,,,,,
2369,12/19/2022- 8:34:57 PM,4.14,238.04,27.27,23.78,0.06,,,,,,,,,,,,,,,
2370,12/19/2022- 8:45:33 PM,4.14,235.6,27.2,23.81,0.06,,,,,,,,,,,,,,,
2371,12/19/2022- 8:56:58 PM,4.14,231.93,27.27,23.96,0.05,,,,,,,,,,,,,,,
2372,12/19/2022- 9:07:21 PM,4.14,,27.2,,0.06,,,,,,,,,,,,,,,
2373,12/19/2022- 9:17:57 PM,4.13,234.37,27.2,23.84,0.06,,,,,,,,,,,,,,,
2374,12/19/2022- 9:29:21 PM,4.13,234.37,27.25,23.81,0.06,,,,,,,,,,,,,,,
2375,12/19/2022- 9:39:43 PM,4.13,231.93,27.17,23.84,0.06,4.18,142.82,22.83,22.84,0.09,,,,,,,,,,
2376,12/19/2022- 9:50:19 PM,4.13,,26.95,,0.06,,,,,,,,,,,,,,,
2377,12/19/2022- 10:01:43 PM,4.13,233.15,27.08,23.81,0.06,,,,,,,,,,,,,,,
2378,12/19/2022- 10:12:06 PM,4.13,230.71,27.27,23.78,0.06,,,,,,,,,,,,,,,
2379,12/19/2022- 10:23:45 PM,4.13,229.49,26.9,23.9,0.06,,,,,,,,,,,,,,,
2380,12/19/2022- 10:34:08 PM,4.13,229.49,26.9,23.81,0.06,,,,,,,,,,,,,,,
2381,12/19/2022- 10:44:31 PM,4.12,227.05,26.86,23.87,0.06,,,,,,,,,,,,,,,
2382,12/19/2022- 10:56:08 PM,4.12,236.82,26.86,23.84,0.06,,,,,,,,,,,,,,,
2383,12/19/2022- 11:06:30 PM,4.12,227.05,26.95,23.84,0.06,,,,,,,,,,,,,,,
2384,12/19/2022- 11:17:06 PM,4.12,229.49,26.88,23.75,0.06,,,,,,,,,,,,,,,
2385,12/19/2022- 11:28:31 PM,4.12,233.15,26.93,23.87,0.06,,,,,,,,,,,,,,,
2386,12/19/2022- 11:38:53 PM,4.12,236.82,27.1,24.01,0.06,,,,,,,,,,,,,,,
2387,12/19/2022- 11:49:29 PM,4.12,236.82,26.59,23.69,0.06,,,,,,4.12,183.11,28.52,22.49,0.05,,,,,
2388,12/20/2022- 12:00:54 AM,4.12,,26.71,,0.06,,,,,,,,,,,,,,,
2389,12/20/2022- 12:11:16 AM,4.12,228.27,26.64,23.81,0.06,,,,,,,,,,,4.09,192.87,25.42,21.76,0.05
2390,12/20/2022- 12:21:52 AM,4.11,229.49,26.83,23.63,0.06,,,,,,,,,,,,,,,
2391,12/20/2022- 12:33:17 AM,4.11,225.83,26.81,23.63,0.06,,,,,,,,,,,,,,,
2392,12/20/2022- 12:43:39 AM,4.11,225.83,26.73,23.96,0.06,,,,,,,,,,,,,,,
2393,12/20/2022- 12:54:16 AM,4.11,233.15,26.49,23.81,0.06,,,,,,,,,,,,,,,
2394,12/20/2022- 1:05:42 AM,4.11,227.05,26.71,23.84,0.06,,,,,,,,,,,,,,,
2395,12/20/2022- 1:16:05 AM,4.11,230.71,26.54,23.72,0.06,,,,,,,,,,,,,,,
2396,12/20/2022- 1:26:59 AM,4.11,228.27,26.56,23.9,0.06,,,,,,,,,,,,,,,
2397,12/20/2022- 1:37:29 AM,4.11,,26.66,,0.06,,,,,,,,,,,,,,,
2398,12/20/2022- 1:49:08 AM,4.11,223.39,26.81,23.81,0.06,,,,,,,,,,,,,,,
2399,12/20/2022- 1:59:30 AM,4.11,220.95,26.54,23.72,0.06,,,,,,,,,,,,,,,
2400,12/20/2022- 2:10:55 AM,4.11,228.27,26.56,23.87,0.06,,,,,,,,,,,,,,,
2401,12/20/2022- 2:21:31 AM,4.1,228.27,26.61,23.78,0.06,4.15,145.26,22.61,22.7,0.1,,,,,,,,,,
2402,12/20/2022- 2:31:53 AM,4.1,222.17,26.64,23.81,0.06,,,,,,,,,,,,,,,
2403,12/20/2022- 2:43:17 AM,4.1,227.05,26.64,23.75,0.06,,,,,,,,,,,,,,,
2404,12/20/2022- 2:53:53 AM,4.1,228.27,26.56,23.81,0.06,,,,,,,,,,,,,,,
2405,12/20/2022- 3:04:16 AM,4.1,228.27,26.37,23.78,0.06,,,,,,,,,,,,,,,
2406,12/20/2022- 3:15:40 AM,4.1,216.06,26.39,23.72,0.06,,,,,,,,,,,,,,,
2407,12/20/2022- 3:26:16 AM,4.1,224.61,26.61,23.75,0.06,,,,,,,,,,,,,,,
2408,12/20/2022- 3:36:39 AM,4.1,,26.29,,0.06,,,,,,,,,,,,,,,
2409,12/20/2022- 3:48:04 AM,4.1,,26.2,,0.06,,,,,,,,,,,,,,,
2410,12/20/2022- 3:58:39 AM,4.1,219.73,26.34,23.84,0.06,,,,,,,,,,,,,,,
2411,12/20/2022- 4:09:01 AM,4.1,224.61,26.44,23.69,0.06,,,,,,,181.88,,22.7,,,,,,
2412,12/20/2022- 4:19:37 AM,4.1,220.95,26.51,23.63,0.06,,,,,,,,,,,,,,,
2413,12/20/2022- 4:31:02 AM,4.09,220.95,26.27,23.87,0.06,,,,,,,,,,,,,,,
2414,12/20/2022- 4:41:24 AM,4.1,222.17,26.44,23.66,0.06,,,,,,,,,,,,,,,
2415,12/20/2022- 4:53:03 AM,4.09,216.06,26.32,23.69,0.06,,,,,,,,,,,,,,,
2416,12/20/2022- 5:03:25 AM,4.09,224.61,26.51,23.52,0.06,,,,,,,,,,,,,,,
2417,12/20/2022- 5:13:47 AM,4.09,222.17,26.46,23.52,0.07,,,,,,,,,,,,,,,
2418,12/20/2022- 5:25:26 AM,4.09,217.29,26.29,23.54,0.06,,,,,,,,,,,,,,,
2419,12/20/2022- 5:35:48 AM,4.09,219.73,26.22,23.52,0,,,,,,,,,,,,,,,
2420,12/20/2022- 5:46:11 AM,4.09,224.61,26.22,23.54,0.01,,,,,,,,,,,,,,,
2421,12/20/2022- 5:57:49 AM,4.09,225.83,26.25,23.52,0.06,,,,,,,,,,,,,,,
2422,12/20/2022- 6:08:11 AM,4.09,220.95,26.12,23.6,0.57,,,,,,,,,,,,,,,
2423,12/20/2022- 6:18:34 AM,4.09,211.18,26.32,23.49,2.48,,,,,,,,,,,,,,,
2424,12/20/2022- 6:30:12 AM,4.09,218.51,26.32,23.49,3.79,,,,,,,,,,,,,,,
2425,12/20/2022- 6:40:34 AM,4.09,223.39,26.07,23.46,3.98,,134.28,,22.37,,,,,,,,,,,
2426,12/20/2022- 6:51:10 AM,4.09,219.73,26.49,23.52,4.01,4.14,133.06,22.46,22.14,4.05,,,,,,4.06,198.97,25.83,20.91,3.98
2427,12/20/2022- 7:02:35 AM,4.09,214.84,26.32,23.52,4.04,4.14,,22.49,,4.07,,,,,,,,,,
2428,12/20/2022- 7:12:57 AM,4.1,225.83,26.32,23.54,4.09,,,,,,,,,,,,,,,
2429,12/20/2022- 7:23:35 AM,4.13,230.71,26.44,23.46,4.2,,,,,,,,,,,,,,,
2430,12/20/2022- 7:34:59 AM,4.14,223.39,26.39,23.52,4.23,,,,,,,,,,,,,,,
2431,12/20/2022- 7:45:22 AM,4.18,228.27,26.22,23.63,4.42,,,,,,,,,,,,,,,
2432,12/20/2022- 7:55:58 AM,4.22,229.49,26.17,23.66,4.48,,,,,,,,,,,,,,,
2433,12/20/2022- 8:07:22 AM,4.25,229.49,26.51,23.69,4.31,,,,,,,,,,,,,,,
2434,12/20/2022- 8:17:44 AM,4.23,235.6,26.29,23.72,4.44,,,,,,4.2,172.12,28.37,21.99,5,,,,,
2435,12/20/2022- 8:28:20 AM,4.24,231.93,26.29,23.81,4.43,,,,,,4.18,177,28.03,22.11,5,,,,,
2436,12/20/2022- 8:39:45 AM,4.25,238.04,26.2,23.75,4.5,,,,,,4.17,178.22,27.78,21.87,5,,,,,
2437,12/20/2022- 8:50:07 AM,4.27,234.37,26.78,23.81,4.36,,,,,,,,,,,,,,,
2438,12/20/2022- 9:01:47 AM,4.27,234.37,26.56,23.87,4.34,,,,,,,,,,,,,,,
2439,12/20/2022- 9:12:09 AM,4.27,235.6,26.37,23.49,4.43,,,,,,,,,,,,,,,
2440,12/20/2022- 9:34:06 AM,4.27,236.82,26.49,23.63,4.44,,,,,,,,,,,,,,,
2441,12/20/2022- 9:44:32 AM,4.27,230.71,26.22,23.57,4.99,,,,,,,,,,,,,,,
2442,12/20/2022- 10:06:34 AM,4.27,,26.25,,5,,,,,,,,,,,,,,,
2443,12/20/2022- 10:17:59 AM,4.24,,25.81,,5,,,,,,,,,,,,,,,
2444,12/20/2022- 10:28:40 AM,4.27,219.73,25.9,23.52,5,,,,,,,,,,,,,,,
2445,12/20/2022- 10:39:02 AM,4.24,222.17,25.95,23.31,5,,,,,,,,,,,,,,,
2446,12/20/2022- 10:50:27 AM,4.24,217.29,25.66,23.08,5,,,,,,,,,,,,,,,
2447,12/20/2022- 11:01:03 AM,4.23,222.17,25.66,23.25,5,,,,,,,,,,,,,,,
2448,12/20/2022- 11:12:28 AM,4.23,212.4,25.88,23.13,5,,,,,,,,,,,,,,,
2449,12/20/2022- 11:22:50 AM,4.23,216.06,25.95,23.02,5,4.24,129.39,21.92,21.49,5,,,,,,,,,,
2450,12/20/2022- 11:33:25 AM,4.26,230.71,25.9,23.31,5,,,,,,,,,,,,,,,
2451,12/20/2022- 11:44:49 AM,4.24,212.4,25.81,22.99,5,,,,,,,,,,,,,,,
2452,12/20/2022- 11:55:29 AM,4.24,220.95,25.76,23.16,5,,,,,,,,,,,,,,,
2453,12/20/2022- 12:06:53 PM,4.23,224.61,25.46,23.13,5,,,,,,,,,,,,,,,
2454,12/20/2022- 12:17:15 PM,4.24,212.4,25.44,23.08,5,,,,,,,,,,,,,,,
2455,12/20/2022- 12:28:54 PM,4.23,216.06,25.39,23.25,5,,,,,,,,,,,,,,,
2456,12/20/2022- 12:39:17 PM,4.23,222.17,25.54,23.22,5,,,,,,4.17,173.34,27.86,22.08,5,,,,,
2457,12/20/2022- 12:50:42 PM,4.23,217.29,25.68,23.13,5,,,,,,4.17,175.78,27.83,22.08,5,,,,,
2458,12/20/2022- 1:01:17 PM,4.24,216.06,25.34,23.02,5,,,,,,,,,,,,,,,
2459,12/20/2022- 1:11:39 PM,4.23,216.06,25.44,23.08,5,,,,,,,,,,,4.2,197.75,25.54,20.97,5
2460,12/20/2022- 1:23:04 PM,4.23,,25.42,,5,,,,,,,,,,,,,,,
2461,12/20/2022- 1:33:40 PM,4.23,222.17,25.49,22.9,5,,,,,,,,,,,,,,,
2462,12/20/2022- 1:45:05 PM,4.26,224.61,25.59,23.19,4.48,,,,,,,,,,,,,,,
2463,12/20/2022- 1:55:40 PM,4.26,218.51,25.56,23.16,4.48,,,,,,,,,,,,,,,
2464,12/20/2022- 2:07:04 PM,4.27,219.73,25.78,23.19,4.67,,,,,,,,,,,,,,,
2465,12/20/2022- 2:17:27 PM,4.26,224.61,25.61,23.19,4.41,,,,,,,,,,,,,,,
2466,12/20/2022- 2:28:04 PM,4.24,,25.73,,5,,,,,,,,,,,,,,,
2467,12/20/2022- 2:39:28 PM,4.26,223.39,25.61,23.08,4.49,,,,,,,,,,,,,,,
2468,12/20/2022- 2:50:53 PM,4.24,209.96,25.29,22.93,5,,,,,,,,,,,,,,,
2469,12/20/2022- 3:01:28 PM,4.26,220.95,25.68,23.31,4.48,,,,,,,,,,,,,,,
2470,12/20/2022- 3:11:50 PM,4.26,217.29,25.63,23.11,4.46,,,,,,,,,,,,,,,
2471,12/20/2022- 3:23:15 PM,4.26,217.29,25.61,23.08,4.37,,,,,,,,,,,,,,,
2472,12/20/2022- 3:33:52 PM,4.25,208.74,25.66,23.13,4.31,,,,,,,,,,,,,,,
2473,12/20/2022- 3:45:17 PM,4.25,213.62,25.44,23.13,4.26,,,,,,,,,,,,,,,
2474,12/20/2022- 3:55:39 PM,4.25,211.18,25.34,23.19,4.23,,124.51,,22.31,,,,,,,,,,,
2475,12/20/2022- 4:06:16 PM,4.25,207.52,25.44,23.02,4.19,4.27,128.17,21.44,22.4,4.19,,,,,,,,,,
2476,12/20/2022- 4:17:40 PM,4.25,209.96,25.46,23.02,4.17,4.27,130.62,21.63,22.43,4.17,,,,,,,,,,
2477,12/20/2022- 4:28:15 PM,4.24,214.84,25.22,23.08,4.12,,,,,,,,,,,,,,,
2478,12/20/2022- 4:39:40 PM,4.23,202.64,25.39,23.08,3.68,,,,,,,,,,,,194.09,,21.26,
2479,12/20/2022- 4:50:02 PM,4.22,208.74,25.37,23.05,2.54,,,,,,,,,,,,,,,
2480,12/20/2022- 5:00:39 PM,4.21,203.86,25.42,22.78,0.81,,,,,,4.2,169.68,27.91,22.26,0.78,,,,,
2481,12/20/2022- 5:12:05 PM,4.21,,25.39,,0.11,,,,,,,,,,,,,,,
2482,12/20/2022- 5:22:27 PM,4.2,207.52,25.34,23.16,0.06,,,,,,,,,,,,,,,
2483,12/20/2022- 5:33:03 PM,4.19,213.62,24.9,22.96,0.05,,,,,,,,,,,,,,,
2484,12/20/2022- 5:44:28 PM,4.19,207.52,25.22,23.08,0.05,,,,,,,,,,,,,,,
2485,12/20/2022- 5:54:50 PM,4.18,207.52,25.22,23.11,0.05,,,,,,,,,,,,,,,
2486,12/20/2022- 6:05:29 PM,4.18,208.74,25.32,23.16,0.05,,,,,,,,,,,,,,,
2487,12/20/2022- 6:16:54 PM,4.18,206.3,25.46,23.19,0.05,,,,,,,,,,,,,,,
2488,12/20/2022- 6:27:17 PM,4.17,208.74,25.32,23.02,0.05,,,,,,,,,,,,,,,
2489,12/20/2022- 6:37:53 PM,4.17,203.86,25.44,23.11,0.05,,,,,,,,,,,,,,,
2490,12/20/2022- 6:49:17 PM,4.17,200.2,25.56,23.11,0.05,,,,,,,,,,,,,,,
2491,12/20/2022- 6:59:53 PM,4.16,211.18,25.17,23.22,0.06,,,,,,,,,,,,,,,
2492,12/20/2022- 7:11:17 PM,4.16,207.52,25.29,23.13,0.05,,,,,,,,,,,,,,,
2493,12/20/2022- 7:21:40 PM,4.16,206.3,25.37,23.25,0.05,,,,,,,,,,,,,,,
2494,12/20/2022- 7:32:16 PM,4.15,211.18,25.44,23.13,0.05,,,,,,,,,,,,,,,
2495,12/20/2022- 7:42:50 PM,4.15,206.3,25.17,22.99,0.05,,,,,,,,,,,4.12,192.87,25.27,21.61,0.04
2496,12/20/2022- 7:54:15 PM,4.15,208.74,25.51,23.19,0.06,,,,,,,,,,,4.12,191.65,25.39,21.76,0.04
2497,12/20/2022- 8:04:51 PM,4.15,207.52,25.32,23.11,0.05,,,,,,,,,,,4.12,190.43,25.37,21.82,0.04
2498,12/20/2022- 8:16:16 PM,4.14,206.3,25.12,23.22,0.05,,,,,,,,,,,,,,,
2499,12/20/2022- 8:26:42 PM,4.14,205.08,25.17,23.13,0.05,,,,,,,,,,,,,,,
2500,12/20/2022- 8:37:19 PM,4.14,211.18,25.37,23.11,0.06,,128.17,,22.52,,,,,,,,,,,
2501,12/20/2022- 8:48:44 PM,4.14,202.64,25.39,23.08,0.06,4.18,133.06,21.34,22.61,0.09,,,,,,,,,,
2502,12/20/2022- 8:59:06 PM,4.14,211.18,25.27,22.99,0.06,,,,,,,,,,,,,,,
2503,12/20/2022- 9:09:40 PM,4.14,212.4,25.32,23.13,0.06,,,,,,4.13,163.57,27.78,22.17,0.05,,,,,
2504,12/20/2022- 9:21:05 PM,4.13,203.86,25.34,23.31,0.06,,,,,,,,,,,,,,,
2505,12/20/2022- 9:31:40 PM,4.13,206.3,25.51,23.11,0.06,,,,,,4.14,175.78,27.91,22.23,0.05,,,,,
2506,12/20/2022- 9:42:02 PM,4.13,207.52,25.27,23.11,0.06,,,,,,,,,,,,,,,
2507,12/20/2022- 9:53:27 PM,4.13,208.74,25.32,23.28,0.06,,,,,,,,,,,,,,,
